date,act_symbol,iv_current,iv_year_high,iv_year_low
2024-09-01,__CANARY__,1,1,1
2024-09-02,__CANARY__,1,1,1
2024-09-03,__CANARY__,1,1,1
2024-09-04,__CANARY__,1,1,1
2024-09-05,__CANARY__,1,1,1
2024-09-06,__CANARY__,1,1,1
2024-09-07,__CANARY__,1,1,1
2024-09-08,__CANARY__,1,1,1
2024-09-09,__CANARY__,1,1,1
2024-09-10,__CANARY__,1,1,1
2024-09-11,__CANARY__,1,1,1
2024-09-12,__CANARY__,1,1,1
2024-09-13,__CANARY__,1,1,1
2024-09-14,__CANARY__,1,1,1
2024-09-15,__CANARY__,1,1,1
2024-09-16,__CANARY__,1,1,1
2024-09-17,__CANARY__,1,1,1
2024-09-18,__CANARY__,1,1,1
2024-09-19,__CANARY__,1,1,1
2024-09-20,__CANARY__,1,1,1
2024-09-21,__CANARY__,1,1,1
2024-09-22,__CANARY__,1,1,1
2024-09-23,__CANARY__,1,1,1
2024-09-24,__CANARY__,1,1,1
2024-09-25,__CANARY__,1,1,1
2024-09-26,__CANARY__,1,1,1
2024-09-27,__CANARY__,1,1,1
2024-09-28,__CANARY__,1,1,1
2024-09-29,__CANARY__,1,1,1
2024-09-30,__CANARY__,1,1,1
